Local/Ano,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brasil,56662542,57964209,56069983,55887379,59032241,59431710,59059599,61841033,63030377,66406024,70398423,71028134,71432966,73644898,73274337,75898382
Rondônia,351157,386252,393201,383553,408939,436766,455482,546051,476280,447793,465183,505753,512621,585246,571287,657037
Acre,115864,117634,111638,107877,98425,84700,114815,121043,135180,118489,110554,103290,94552,87101,72431,69230
Amazonas,129033,164876,162948,144985,139022,140167,135465,146031,145647,135550,113173,100318,101189,103168,96226,99489
Roraima,59853,57923,54698,41908,46133,34833,34890,42135,43508,49804,47814,50600,52194,47578,66490,71665
Pará,1028444,1061815,983007,950688,894926,859286,793733,795974,818833,888463,953116,1015293,1067313,1198721,1157851,1230181
Amapá,13056,14734,14309,15656,18463,20498,22341,22076,20925,24280,39384,30878,34078,38863,34238,34800
Tocantins,541537,687118,596696,583585,646558,612324,664195,705878,730965,834257,1034697,1199494,1227972,1278462,1348373,1413461
Maranhão,1520015,1605736,1608870,1620345,1629185,1588862,1729552,1751843,1795760,1845490,1975258,1802598,1571680,1783013,1796133,1701124
Piauí,920826,991698,1004273,1021277,1015856,1091208,1085916,1211926,1242537,1367561,1443676,1468590,1407874,1550591,1571380,1565546
Ceará,1425409,1271717,1380444,1457146,1516034,1565997,1249534,1561076,1207133,835020,1012060,1013029,961666,1109673,1106614,1011001
Rio Grande do Norte,403689,295036,322296,315991,332949,333071,188923,264702,174029,179007,198677,185483,172881,188138,226824,242322
Paraíba,624985,541080,588312,541641,602727,596949,387000,520883,315695,269807,332744,290582,327362,310676,344695,325567
Pernambuco,1034149,1048113,1049471,1045232,1209084,1103305,1008027,1048136,916379,501357,803733,762022,785004,723642,705898,657034
Alagoas,627238,627854,616775,618740,650900,626470,588088,574959,510664,553345,541293,432672,418072,471067,403323,442404
Sergipe,267024,261319,314330,295241,301765,311368,326608,304590,271294,279791,284818,282686,274342,260207,213475,212001
Bahia,3396708,3535027,3398365,3374656,3413864,3410816,3356322,3520869,3042539,3173428,3584274,3710681,3275959,3133149,3199951,3216103
Minas Gerais,3626812,3676705,3547511,3435778,3574571,3673694,3707924,3809903,3947905,4130827,4329431,4297197,4363801,4251179,4206628,4502247
Espírito Santo,166136,164362,154094,151164,159690,161451,144614,147384,141022,133936,131024,124941,106258,88513,91259,82156
Rio de Janeiro,211168,208228,201816,168004,169935,166885,167816,141384,157396,138238,121981,101833,79218,79665,75912,78802
Guanabara,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
São Paulo,5468870,5648446,5838923,5839811,6602359,6702900,6790397,6957714,7045089,7277216,7503691,7670689,7827257,8020736,7856136,8063719
Paraná,9457679,9297592,9054166,9210485,9620395,9894073,9533355,9740331,9857170,10337789,10587901,10494673,10598562,10528044,10357553,10551878
Santa Catarina,1757864,1743302,1714457,1690398,1680007,1652656,1591863,1554786,1490575,1523522,1545746,1517119,1502254,1496322,1439650,1433363
Rio Grande do Sul,8212434,8051809,7783099,7804492,7914625,7893148,7769356,7955427,8091176,8582911,8871226,8794564,8765576,8907020,8909135,9060127
Mato Grosso do Sul,3007135,3115191,3004163,3032633,3237782,3206201,3245163,3496823,3813582,4318120,4551748,4744300,4939289,5273371,5469048,5784337
Mato Grosso,7912796,8976694,8009276,7992055,8830550,8735355,9381244,9884223,11262263,12723490,13542011,14082687,14494519,15570194,15478806,16594186
Goiás,4272494,4291352,4040749,3918065,4187320,4409036,4470306,4889269,5244323,5601980,6100279,6087704,6306761,6399617,6311717,6634818
Distrito Federal,110167,122596,122096,125973,130177,119691,116670,125617,132508,134553,172931,158458,164712,160942,163304,163784